"Year","Sex","AgeGroup","Cases"
2009,"Males","70-74",166
2009,"Males","75-79",151
2009,"Males","80-84",132
2009,"Males","85+",99
2009,"Females","0-4",0
2009,"Females","5-9",0
2009,"Females","10-14",0
2009,"Females","15-19",4
2009,"Females","20-24",16
2009,"Females","25-29",29
2009,"Females","30-34",40
2009,"Females","35-39",53
2009,"Females","40-44",66
2009,"Females","45-49",94
2009,"Females","50-54",75
2009,"Females","55-59",107
2009,"Females","60-64",125
2009,"Females","65-69",90
2009,"Females","70-74",98
2009,"Females","75-79",87
2009,"Females","80-84",87
2009,"Females","85+",83
2008,"Males","0-4",0
2008,"Males","5-9",0
2008,"Males","10-14",2
2008,"Males","15-19",4
2008,"Males","20-24",11
2008,"Males","25-29",13
2008,"Males","30-34",27
2008,"Males","35-39",49
2008,"Males","40-44",58
2008,"Males","45-49",65
2008,"Males","50-54",117
2008,"Males","55-59",105
2008,"Males","60-64",157
2008,"Males","65-69",149
2008,"Males","70-74",143
2008,"Males","75-79",143
2008,"Males","80-84",129
2008,"Males","85+",78
2008,"Females","0-4",0
2008,"Females","5-9",0
2008,"Females","10-14",0
2008,"Females","15-19",2
2008,"Females","20-24",16
2008,"Females","25-29",27
2008,"Females","30-34",46
2008,"Females","35-39",53
2008,"Females","40-44",83
2008,"Females","45-49",87
2008,"Females","50-54",102
2008,"Females","55-59",104
2008,"Females","60-64",104
2008,"Females","65-69",63
2008,"Females","70-74",82
2008,"Females","75-79",70
2008,"Females","80-84",84
2008,"Females","85+",61
2007,"Males","0-4",0
2007,"Males","5-9",0
2007,"Males","10-14",1
2007,"Males","15-19",3
2007,"Males","20-24",12
2007,"Males","25-29",14
2007,"Males","30-34",44
2007,"Males","35-39",31
2007,"Males","40-44",50
2007,"Males","45-49",68
2007,"Males","50-54",97
2007,"Males","55-59",137
2007,"Males","60-64",143
2007,"Males","65-69",122
2007,"Males","70-74",148
2007,"Males","75-79",131
2007,"Males","80-84",123
2007,"Males","85+",69
2007,"Females","0-4",0
2007,"Females","5-9",0
2007,"Females","10-14",0
2007,"Females","15-19",4
2007,"Females","20-24",18
2007,"Females","25-29",29
2007,"Females","30-34",48
2007,"Females","35-39",54
2007,"Females","40-44",68
2007,"Females","45-49",86
2007,"Females","50-54",97
2007,"Females","55-59",101
2007,"Females","60-64",93
2007,"Females","65-69",68
2007,"Females","70-74",78
2007,"Females","75-79",92
2007,"Females","80-84",76
2007,"Females","85+",76
2006,"Males","0-4",0
2006,"Males","5-9",0
2006,"Males","10-14",0
2006,"Males","15-19",6
2006,"Males","20-24",11
2006,"Males","25-29",17
2006,"Males","30-34",37
2006,"Males","35-39",40
2006,"Males","40-44",66
2006,"Males","45-49",78
2006,"Males","50-54",96
2006,"Males","55-59",142
2006,"Males","60-64",136
2006,"Males","65-69",138
2006,"Males","70-74",132
2006,"Males","75-79",147
2006,"Males","80-84",90
2006,"Males","85+",86
2006,"Females","0-4",0
2006,"Females","5-9",0
2006,"Females","10-14",1
2006,"Females","15-19",4
2006,"Females","20-24",16
2006,"Females","25-29",23
2006,"Females","30-34",53
2006,"Females","35-39",55
2006,"Females","40-44",65
2006,"Females","45-49",83
2006,"Females","50-54",72
2006,"Females","55-59",87
2006,"Females","60-64",99
2006,"Females","65-69",84
2006,"Females","70-74",73
2006,"Females","75-79",103
2006,"Females","80-84",81
2006,"Females","85+",75
2005,"Males","0-4",0
2005,"Males","5-9",1
2005,"Males","10-14",1
2005,"Males","15-19",6
2005,"Males","20-24",9
2005,"Males","25-29",19
2005,"Males","30-34",39
2005,"Males","35-39",49
2005,"Males","40-44",67
2005,"Males","45-49",104
2005,"Males","50-54",96
2005,"Males","55-59",142
2005,"Males","60-64",132
2005,"Males","65-69",120
2005,"Males","70-74",136
2005,"Males","75-79",142
2005,"Males","80-84",108
2005,"Males","85+",57
2005,"Females","0-4",0
2005,"Females","5-9",0
2005,"Females","10-14",0
2005,"Females","15-19",3
2005,"Females","20-24",15
2005,"Females","25-29",40
2005,"Females","30-34",56
2005,"Females","35-39",63
2005,"Females","40-44",96
2005,"Females","45-49",91
2005,"Females","50-54",108
2005,"Females","55-59",119
2005,"Females","60-64",90
2005,"Females","65-69",107
2005,"Females","70-74",60
2005,"Females","75-79",82
2005,"Females","80-84",90
2005,"Females","85+",63
2004,"Males","0-4",0
2004,"Males","5-9",0
2004,"Males","10-14",1
2004,"Males","15-19",5
2004,"Males","20-24",10
2004,"Males","25-29",29
2004,"Males","30-34",39
2004,"Males","35-39",38
2004,"Males","40-44",60
2004,"Males","45-49",73
2004,"Males","50-54",93
2004,"Males","55-59",110
2004,"Males","60-64",121
2004,"Males","65-69",110
2004,"Males","70-74",117
2004,"Males","75-79",120
2004,"Males","80-84",112
2004,"Males","85+",55
2004,"Females","0-4",0
2004,"Females","5-9",0
2004,"Females","10-14",1
2004,"Females","15-19",5
2004,"Females","20-24",15
2004,"Females","25-29",29
2004,"Females","30-34",43
2004,"Females","35-39",46
2004,"Females","40-44",59
2004,"Females","45-49",81
2004,"Females","50-54",83
2004,"Females","55-59",91
2004,"Females","60-64",92
2004,"Females","65-69",81
2004,"Females","70-74",72
2004,"Females","75-79",79
2004,"Females","80-84",52
2004,"Females","85+",49
2003,"Males","0-4",0
2003,"Males","5-9",0
2003,"Males","10-14",0
2003,"Males","15-19",4
2003,"Males","20-24",7
2003,"Males","25-29",20
2003,"Males","30-34",29
2003,"Males","35-39",43
2003,"Males","40-44",59
2003,"Males","45-49",63
2003,"Males","50-54",86
2003,"Males","55-59",118
2003,"Males","60-64",109
2003,"Males","65-69",94
2003,"Males","70-74",118
2003,"Males","75-79",102
2003,"Males","80-84",84
2003,"Males","85+",49
2003,"Females","0-4",0
2003,"Females","5-9",0
2003,"Females","10-14",2
2003,"Females","15-19",3
2003,"Females","20-24",13
2003,"Females","25-29",26
2003,"Females","30-34",32
2003,"Females","35-39",49
2003,"Females","40-44",60
2003,"Females","45-49",61
2003,"Females","50-54",82
2003,"Females","55-59",72
2003,"Females","60-64",53
2003,"Females","65-69",75
2003,"Females","70-74",68
2003,"Females","75-79",70
2003,"Females","80-84",58
2003,"Females","85+",51
2002,"Males","0-4",0
2002,"Males","5-9",0
2002,"Males","10-14",0
2002,"Males","15-19",9
2002,"Males","20-24",17
2002,"Males","25-29",15
2002,"Males","30-34",31
2002,"Males","35-39",42
2002,"Males","40-44",59
2002,"Males","45-49",74
2002,"Males","50-54",96
2002,"Males","55-59",111
2002,"Males","60-64",105
2002,"Males","65-69",96
2002,"Males","70-74",119
2002,"Males","75-79",106
2002,"Males","80-84",67
2002,"Males","85+",49
2002,"Females","0-4",0
2002,"Females","5-9",1
2002,"Females","10-14",2
2002,"Females","15-19",8
2002,"Females","20-24",25
2002,"Females","25-29",31
2002,"Females","30-34",43
2002,"Females","35-39",38
2002,"Females","40-44",54
2002,"Females","45-49",101
2002,"Females","50-54",87
2002,"Females","55-59",75
2002,"Females","60-64",73
2002,"Females","65-69",58
2002,"Females","70-74",57
2002,"Females","75-79",61
2002,"Females","80-84",60
2002,"Females","85+",63
2001,"Males","0-4",0
2001,"Males","5-9",0
2001,"Males","10-14",1
2001,"Males","15-19",9
2001,"Males","20-24",9
2001,"Males","25-29",31
2001,"Males","30-34",30
2001,"Males","35-39",42
2001,"Males","40-44",64
2001,"Males","45-49",73
2001,"Males","50-54",88
2001,"Males","55-59",83
2001,"Males","60-64",67
2001,"Males","65-69",93
2001,"Males","70-74",117
2001,"Males","75-79",104
2001,"Males","80-84",78
2001,"Males","85+",40
2001,"Females","0-4",0
2001,"Females","5-9",1
2001,"Females","10-14",1
2001,"Females","15-19",6
2001,"Females","20-24",13
2001,"Females","25-29",36
2001,"Females","30-34",48
2001,"Females","35-39",65
2001,"Females","40-44",68
2001,"Females","45-49",67
2001,"Females","50-54",79
2001,"Females","55-59",72
2001,"Females","60-64",62
2001,"Females","65-69",70
2001,"Females","70-74",76
2001,"Females","75-79",69
2001,"Females","80-84",37
2001,"Females","85+",42
2000,"Males","0-4",0
2000,"Males","5-9",0
2000,"Males","10-14",0
2000,"Males","15-19",3
2000,"Males","20-24",17
2000,"Males","25-29",25
2000,"Males","30-34",24
2000,"Males","35-39",43
2000,"Males","40-44",52
2000,"Males","45-49",54
2000,"Males","50-54",88
2000,"Males","55-59",84
2000,"Males","60-64",107
2000,"Males","65-69",87
2000,"Males","70-74",121
2000,"Males","75-79",92
2000,"Males","80-84",55
2000,"Males","85+",41
2000,"Females","0-4",0
2000,"Females","5-9",0
2000,"Females","10-14",1
2000,"Females","15-19",6
2000,"Females","20-24",17
2000,"Females","25-29",33
2000,"Females","30-34",44
2000,"Females","35-39",57
2000,"Females","40-44",69
2000,"Females","45-49",71
2000,"Females","50-54",76
2000,"Females","55-59",61
2000,"Females","60-64",61
2000,"Females","65-69",71
2000,"Females","70-74",87
2000,"Females","75-79",86
2000,"Females","80-84",49
2000,"Females","85+",52
1999,"Males","0-4",0
1999,"Males","5-9",0
1999,"Males","10-14",0
1999,"Males","15-19",7
1999,"Males","20-24",12
1999,"Males","25-29",9
1999,"Males","30-34",19
1999,"Males","35-39",44
1999,"Males","40-44",64
1999,"Males","45-49",71
1999,"Males","50-54",99
1999,"Males","55-59",73
1999,"Males","60-64",89
1999,"Males","65-69",87
1999,"Males","70-74",111
1999,"Males","75-79",95
1999,"Males","80-84",63
1999,"Males","85+",41
1999,"Females","0-4",0
1999,"Females","5-9",1
1999,"Females","10-14",1
1999,"Females","15-19",5
1999,"Females","20-24",23
1999,"Females","25-29",25
1999,"Females","30-34",33
1999,"Females","35-39",56
1999,"Females","40-44",62
1999,"Females","45-49",92
1999,"Females","50-54",76
1999,"Females","55-59",57
1999,"Females","60-64",61
1999,"Females","65-69",62
1999,"Females","70-74",73
1999,"Females","75-79",57
1999,"Females","80-84",47
1999,"Females","85+",54
1998,"Males","0-4",0
1998,"Males","5-9",0
1998,"Males","10-14",0
1998,"Males","15-19",4
1998,"Males","20-24",15
1998,"Males","25-29",17
1998,"Males","30-34",25
1998,"Males","35-39",36
1998,"Males","40-44",51
1998,"Males","45-49",68
1998,"Males","50-54",96
1998,"Males","55-59",76
1998,"Males","60-64",74
1998,"Males","65-69",89
1998,"Males","70-74",83
1998,"Males","75-79",76
1998,"Males","80-84",53
1998,"Males","85+",29
1998,"Females","0-4",0
1998,"Females","5-9",0
1998,"Females","10-14",1
1998,"Females","15-19",4
1998,"Females","20-24",26
1998,"Females","25-29",23
1998,"Females","30-34",56
1998,"Females","35-39",58
1998,"Females","40-44",67
1998,"Females","45-49",75
1998,"Females","50-54",79
1998,"Females","55-59",51
1998,"Females","60-64",67
1998,"Females","65-69",55
1998,"Females","70-74",55
1998,"Females","75-79",54
1998,"Females","80-84",41
1998,"Females","85+",40
1997,"Males","0-4",0
1997,"Males","5-9",0
1997,"Males","10-14",0
1997,"Males","15-19",6
1997,"Males","20-24",15
1997,"Males","25-29",31
1997,"Males","30-34",44
1997,"Males","35-39",49
1997,"Males","40-44",53
1997,"Males","45-49",96
1997,"Males","50-54",96
1997,"Males","55-59",67
1997,"Males","60-64",79
1997,"Males","65-69",109
1997,"Males","70-74",119
1997,"Males","75-79",68
1997,"Males","80-84",39
1997,"Males","85+",27
1997,"Females","0-4",0
1997,"Females","5-9",0
1997,"Females","10-14",1
1997,"Females","15-19",15
1997,"Females","20-24",27
1997,"Females","25-29",50
1997,"Females","30-34",59
1997,"Females","35-39",61
1997,"Females","40-44",85
1997,"Females","45-49",83
1997,"Females","50-54",83
1997,"Females","55-59",65
1997,"Females","60-64",67
